slug,h1,marker,vendor,term,unit,min_qty,sku,category,hero_starts_vhodit,has_faq,has_related,has_seo_text,has_use_cases,h2s
adsk-maya,Autodesk Maya,Универсальный план,"Autodesk, Inc.",1 год,Рабочее место,1,ADSK-LIC-MAYA-UNI-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
adsk-mecoll,Autodesk Media & Entertainment Collection,Универсальный план,"Autodesk, Inc.",1 год,Рабочее место,1,ADSK-LIC-MECOLLECTION-UNI-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
adsk-motionbuilder,Autodesk MotionBuilder,Универсальный план,"Autodesk, Inc.",1 год,Рабочее место,1,ADSK-LIC-MOTIONBLDR-UNI-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
adsk-mudbox,Autodesk Mudbox,Универсальный план,"Autodesk, Inc.",1 год,Рабочее место,1,ADSK-LIC-MUDBOX-UNI-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
airalo-gift-card,Airalo Voucher (ваучер на eSIM),Универсальный план,Airalo Technologies Inc.,1 год,Рабочее место,1,AIRL-GFT-VOUCHER-UNI-BAL-NOM,Подарочные карты и пополнение баланса,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Полезные статьи | Задать вопрос
anthropic-enterprise,Claude Enterprise,Командный план,Anthropic,,,,ANTH-LIC-CLAUDEENT-TEAM-1Y-USER,Текстовые AI,1,1,1,1,1,Что входит | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Частые вопросы | Похожие товары | Задать вопрос
anthropic-team-premium,"Claude, Premium seat",Командный план,Anthropic,1 год,Рабочее место,2,ANTH-LIC-CLAUDETEAM-TEAM-1Y-USER-PREM,Текстовые AI,0,1,1,1,1,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Частые вопросы | Похожие товары | Задать вопрос
anthropic-team,"Claude, Standard seat",Командный план,Anthropic,1 год,Рабочее место,2,ANTH-LIC-CLAUDETEAM-TEAM-1Y-USER-STD,Текстовые AI,0,1,1,1,1,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Частые вопросы | Похожие товары | Задать вопрос
anydesk-advanced,AnyDesk Advanced,Универсальный план,AnyDesk,1 год,Рабочее место,1,ANYD-LIC-ADVANCED-TEAM-1Y-USER,Системное ПО и ОС,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
anydesk-namespace,AnyDesk Add-on Custom Namespace,Универсальный план,AnyDesk,1 год,Рабочее место,1,ANYD-ADD-NAMESPACE-UNI-1Y-ORG,Системное ПО и ОС,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
anydesk-solo,AnyDesk Solo,Индивидуальный план,AnyDesk,1 год,Рабочее место,1,ANYD-LIC-SOLO-IND-1Y-USER,Системное ПО и ОС,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
anydesk-standard,AnyDesk Standard,Универсальный план,AnyDesk,1 год,Рабочее место,1,ANYD-LIC-STANDARD-TEAM-1Y-USER,Системное ПО и ОС,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
app-store-itunes-gift-card,Apple App Store & iTunes Gift Card,Универсальный план,Apple Inc.,1 год,Рабочее место,1,APPL-GFT-APPSTORE-UNI-BAL-NOM,Подарочные карты и пополнение баланса,0,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Полезные статьи | Задать вопрос
artlst-pro,Artlist Music & SFX Pro,Индивидуальный план,Artlist Ltd,1 год,Рабочее место,1,ARTL-LIC-PRO-IND-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
artlst-social,Artlist Music & SFX (Social),Индивидуальный план,Artlist Ltd,1 год,Рабочее место,1,ARTL-LIC-SOCIAL-IND-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
artlst-teams,Artlist Music & SFX,Командный план,Artlist Ltd,1 год,Рабочее место,1,ARTL-LIC-TEAMS-TEAM-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
astute-bundle,Astute Graphics — полный набор плагинов,Универсальный план,Astute Graphics Ltd,1 год,Рабочее место,1,ASTU-LIC-BUNDLE-UNI-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
avid-mc-sub,Avid Media Composer,Универсальный план,"Avid Technology, Inc.",1 год,Рабочее место,1,AVID-LIC-MEDIACOMP-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
avid-mc-ult,Avid Media Composer | Ultimate,Универсальный план,"Avid Technology, Inc.",1 год,Рабочее место,1,AVID-LIC-MEDIACOMPULT-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
avid-pt-artist,Avid Pro Tools Artist,Универсальный план,"Avid Technology, Inc.",1 год,Рабочее место,1,AVID-LIC-PTARTIST-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
avid-pt-studio,Avid Pro Tools Studio,Универсальный план,"Avid Technology, Inc.",1 год,Рабочее место,1,AVID-LIC-PTSTUDIO-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
avid-pt-ult-perp,Avid Pro Tools Ultimate,Универсальный план,"Avid Technology, Inc.",бессрочно,Лицензия,1,AVID-LIC-PTULTIMATE-UNI-PERP-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
binance-btc-gift-card,Binance Gift Card (BTC),Универсальный план,Binance Holdings Ltd.,1 год,Рабочее место,1,BNCE-GFT-BTC-UNI-BAL-NOM,Подарочные карты и пополнение баланса,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
binance-usdc-gift-card,Binance Gift Card (USDC),Универсальный план,Binance Holdings Ltd.,1 год,Рабочее место,1,BNCE-GFT-USDC-UNI-BAL-NOM,Подарочные карты и пополнение баланса,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
binance-usdt-gift-card,Binance Gift Card (USDT),Универсальный план,Binance Holdings Ltd.,1 год,Рабочее место,1,BNCE-GFT-USDT-UNI-BAL-NOM,Подарочные карты и пополнение баланса,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
bitdefender-gravityzone-business,Bitdefender GravityZone Small Business Security,Командный план,Bitdefender,,,,BITD-LIC-GZSMALLBUS-TEAM-1Y-DEV,Антивирусы и безопасность,1,0,0,0,0,Что входит | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
bitdefender-gravityzone-premium,Bitdefender GravityZone Business Security Premium,Командный план,Bitdefender,,,,BITD-LIC-GZBSPREMIUM-TEAM-1Y-DEV,Антивирусы и безопасность,1,0,0,0,0,Что входит | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
bitdefender-premium-security-family,Bitdefender Premium Security (Family),Универсальный план,Bitdefender,1 год,Рабочее место,1,BITD-LIC-PREMIUMSEC-IND-1Y-PACK-FAMILY,Антивирусы и безопасность,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
bitdefender-total-security-family,Bitdefender Total Security (Family),Универсальный план,Bitdefender,1 год,Рабочее место,1,BITD-LIC-TOTALSEC-IND-1Y-PACK-FAMILY,Антивирусы и безопасность,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
bitdefender-ultimate-security-family,Bitdefender Ultimate Security (Family),Универсальный план,Bitdefender,1 год,Рабочее место,1,BITD-LIC-ULTIMATESEC-IND-1Y-PACK-FAMILY,Антивирусы и безопасность,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
bmd-resolve-studio,DaVinci Resolve Studio,Универсальный план,Blackmagic Design Pty Ltd,бессрочно,Рабочее место,1,BMD-LIC-RESOLVESTUD-UNI-PERP-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
boris-continuum-sub,Boris FX Continuum,Универсальный план,"Boris FX, Inc.",1 год,Рабочее место,1,BFX-LIC-CONTINUUM-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
boris-mocha-sub,Boris FX Mocha Pro,Универсальный план,"Boris FX, Inc.",1 год,Рабочее место,1,BFX-LIC-MOCHAPRO-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
boris-sapphire-sub,Boris FX Sapphire,Универсальный план,"Boris FX, Inc.",1 год,Рабочее место,1,BFX-LIC-SAPPHIRE-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
boris-suite-sub,Boris FX Suite (все хосты),Универсальный план,"Boris FX, Inc.",1 год,Рабочее место,1,BFX-LIC-SUITE-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
box-business-plus,Box Business Plus,Командный план,Box,1 год,Рабочее место,1,BOX-LIC-BUSINESSPLUS-TEAM-1Y-USER,Доски и совместная работа,0,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Полезные статьи | Задать вопрос
box-business,Box Business,Командный план,Box,1 год,Рабочее место,1,BOX-LIC-BUSINESS-TEAM-1Y-USER,Доски и совместная работа,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Полезные статьи | Задать вопрос
browserstack-live-team-pro,BrowserStack Live Team Pro,Командный план,BrowserStack,1 год,Рабочее место,1,BRST-LIC-LIVETEAMPRO-TEAM-1Y-USER,Средства разработки,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
browserstack-live-team,BrowserStack Live,Командный план,BrowserStack,1 год,Рабочее место,1,BRST-LIC-LIVETEAM-TEAM-1Y-USER,Средства разработки,1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
canva-business,Canva Business,Командный план,Canva Pty Ltd,1 год,Рабочее место,1,CANV-LIC-BUSINESS-TEAM-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
canva-ent,Canva Enterprise,Командный план,Canva Pty Ltd,,,,CANV-LIC-ENTERPRISE-TEAM-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
canva-pro,Canva Pro,Индивидуальный план,Canva Pty Ltd,1 год,Рабочее место,1,CANV-LIC-PRO-IND-1Y-USER,Дизайн и графика,1,0,0,1,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
capcut-pro,CapCut Pro,Индивидуальный план,CapCut,1 год,Рабочее место,1,CAPC-LIC-PRO-UNI-1Y-USER,"Звук, видео и медиа",1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
capcut-team,CapCut,Командный план,CapCut,1 год,Рабочее место,1,CAPC-LIC-TEAM-TEAM-1Y-USER,"Звук, видео и медиа",1,0,0,0,0,Что входит в план | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
capture-one-pro,Capture One Pro,Индивидуальный план,Capture One,1 год,,,CAP1-LIC-PRO-UNI-1Y-USER,Дизайн и графика,1,0,0,0,0,Что входит | Основные параметры | Как организовано взаимодействие | Подробно о продукте и условиях использования | Задать вопрос
